Year,Area,Item,Production Value (t),Export Quantity (t),Export Value (1000 USD),Import Quantity (t),Import Value (1000 USD),GPV (1000 USD),GPV_Const (1000 USD),Producer Price (USD/tonne)
2000,Argentina,Barley,722490.0,36926.56,4991.0,16563.52,2718.0,70117.0,96771.0,97.0
2000,Argentina,"Cereals, primary",37983923.0,22932025.0,2336236.82,28333.11,19182.04,3522037.0,6251729.0,95.18571428571428
2000,Argentina,"Hen eggs in shell, fresh",6165055.0,29.85,74.0,2394.27,4389.0,243361.0,369664.0,744.4
2000,Argentina,"Meat, Total",4101293.0,39348.352222222224,81699.69166666667,9885.380588235294,11174.627647058822,6505490.0,4934871.2727272725,1354.2599999999998
2000,Argentina,"Milk, Total",10121330.0,985564.44,251620.4,4736.5,2499.45,1569591.0,3467487.0,155.1
2000,Argentina,Raw milk of cattle,10121330.0,23498.67,7339.0,429.87,174.0,1569591.0,3467487.0,155.1
2000,Argentina,Wheat,15478660.0,11019021.0,1218077.0,101.65,43.0,1672532.0,2950987.0,108.1
2000,Australia,Barley,5043000.0,2956215.0,389939.0,9.0,13.0,502897.0,1074338.0,99.7
2000,Australia,"Cereals, primary",35386938.0,21759801.0,2730472.0,1099.0,559.0,3794961.0,8330335.0,101.975
2000,Australia,"Hen eggs in shell, fresh",2645000.0,129.0,715.0,26.0,529.0,216059.0,375098.0,1510.9
2000,Australia,"Meat, Total",3707445.0,201927.09411764707,330767.23529411765,600.2566666666667,1277.6666666666667,1411500.0,2254951.090909091,896.1714285714286
2000,Australia,"Milk, Total",10847000.0,4163321.74,994704.0,139881.2,41833.0,1597367.0,3383268.0,147.3
2000,Australia,Raw milk of cattle,10847000.0,67605.0,32565.0,2692.0,2457.0,1597367.0,3383268.0,147.3
2000,Australia,Wheat,24757000.0,17724364.0,2219498.0,76.0,46.0,2798942.0,5909846.0,113.1
2000,Austria,Barley,854667.0,260576.0,33064.0,144380.0,18247.0,76795.0,111474.0,89.9
2000,Austria,"Cereals, primary",4494383.16,944046.0,149510.11,373287.0,71395.31,443719.0,654774.0,95.36666666666667
2000,Austria,"Hen eggs in shell, fresh",1520269.0,797.0,1448.0,9847.0,14309.0,108832.0,223798.0,1264.7
2000,Austria,"Meat, Total",835352.0,10422.058333333332,23856.235,8854.322222222221,26556.702222222222,339258.125,370692.3529411765,1892.3
2000,Austria,"Milk, Total",3257320.0,805125.79,244991.47,193462.3,72132.31,880842.0,1367539.0,267.1
2000,Austria,Raw milk of cattle,3233156.0,348353.0,102391.0,6521.0,3352.0,863738.0,1341894.0,267.1
2000,Austria,Wheat,1312962.0,509823.0,74951.0,85250.0,11478.0,133710.0,200728.0,101.8
2000,Belgium,Barley,333400.0,353920.0,39454.0,1220003.0,156753.0,31760.0,52610.0,95.3
2000,Belgium,"Cereals, primary",2513100.0,1524736.0,207447.1,5468533.0,714225.85,244631.0,420729.0,99.65
2000,Belgium,"Hen eggs in shell, fresh",3601200.0,76228.0,58161.0,29052.0,30519.0,113349.0,118688.0,583.7
2000,Belgium,"Meat, Total",1735552.0,74770.82222222222,126379.96388888887,39149.70277777778,78348.20277777777,1876178.0,2315039.6666666665,1058.54
2000,Belgium,"Milk, Total",3691410.0,3530575.75,1184878.15,2942540.36,1057814.34,1019290.0,1267502.0,276.3
2000,Belgium,Raw milk of cattle,3689000.0,638997.0,211986.0,637797.0,203187.0,1019290.0,1267502.0,276.3
2000,Belgium,Wheat,1687700.0,1093209.0,145754.0,3581041.0,440184.0,171989.0,302625.0,101.9
2000,Brazil,Barley,282826.0,0.26,0.0,133719.8,19435.0,29219.0,52214.0,103.3
2000,Brazil,"Cereals, primary",46527201.96,8827.12,9961.21,10057732.42,1280512.81,5394217.0,9103048.0,100.7285714285714
2000,Brazil,"Hen eggs in shell, fresh",31698740.0,4394.0,8438.0,25.0,1111.0,1490156.0,3405216.0,987.2
2000,Brazil,"Meat, Total",15424850.0,184794.3685,212436.16600000003,8217.518421052631,13734.811578947369,8681144.0,11278664.857142856,881.5
2000,Brazil,"Milk, Total",20644773.03,14017.96,6079.97,1233795.83,320646.89,3509779.0,7738775.0,170.0
2000,Brazil,Raw milk of cattle,20379988.0,0.22,0.0,89939.37,27671.0,3464620.0,7660479.0,170.0
2000,Brazil,Wheat,1725792.0,967.95,204.0,7523008.0,981191.0,204710.0,345224.0,118.6
2000,Canada,Barley,13228600.0,1842673.0,244317.0,35598.0,3520.0,944200.0,2246973.0,71.4
2000,Canada,"Cereals, primary",51090400.0,22643639.42,2966763.66,1611926.4,181799.32,4228250.0,8908463.0,67.35
2000,Canada,"Hen eggs in shell, fresh",6943950.0,2072.0,20075.0,23286.0,35276.0,395534.0,683935.0,1062.2
2000,Canada,"Meat, Total",4000324.0,71796.86333333334,153126.04777777777,49512.84105263159,92024.75631578946,6547556.0,11866842.0,1026.875
2000,Canada,"Milk, Total",8161000.0,349783.15,89006.54,238875.24,69258.98,2950951.0,4987010.0,361.6
2000,Canada,Raw milk of cattle,8161000.0,4563.59,3442.0,12.0,15.0,2950951.0,4987010.0,361.6
2000,Canada,Wheat,26535500.0,18771740.0,2488164.0,24508.0,3509.0,2430024.0,4849812.0,91.6
2000,China,Barley,2646000.0,487.49,78.0,2114250.68,331279.0,1993701.0,1075046.0,335.1
2000,China,"Cereals, primary",407336209.03,10627183.94,1087991.87,9184844.32,1250289.57,95539375.0,179735421.0,335.1
2000,China,"Hen eggs in shell, fresh",397150731.67,65309.28,32086.0,85625.49,73616.0,8537698.0,18472766.0,335.1
2000,China,"Meat, Total",62057917.5,197926.6319047619,210058.02619047617,316187.0980952381,248823.94619047616,20496159.166666668,23575494.2,335.1
2000,China,"Milk, Total",12374042.35,385581.14,178262.5,1920244.82,597183.5,3327110.0,6622423.0,335.1
2000,China,Raw milk of cattle,8632308.0,36651.64,26031.0,58038.67,38617.0,2430143.0,4517196.0,335.1
2000,China,Wheat,99636127.0,2521.45,244.0,2048573.77,344018.0,11782762.0,38093881.0,335.1
2000,Denmark,Barley,3979794.0,912208.0,126675.0,196857.0,26246.0,461341.0,707909.0,115.9
2000,Denmark,"Cereals, primary",9412662.0,1906743.0,232526.0,497519.0,84816.0,1056755.0,1683556.0,109.6
2000,Denmark,"Hen eggs in shell, fresh",1312300.0,13405.0,15714.0,19949.0,16361.0,77976.0,126740.0,1049.5
2000,Denmark,"Meat, Total",1985389.38,35272.663888888885,64919.11111111111,14225.65,41099.55555555556,835260.0,1009273.3636363636,1243.3428571428572
2000,Denmark,"Milk, Total",4719800.0,1088477.59,415663.0,240747.4,82064.0,1441556.0,1959127.0,305.4
2000,Denmark,Raw milk of cattle,4719800.0,46160.0,18288.0,13437.0,5043.0,1441556.0,1959127.0,305.4
2000,Denmark,Wheat,4693422.0,939181.0,99859.0,181809.0,31322.0,516195.0,856856.0,110.0
2000,Finland,Barley,1984800.0,32400.0,4275.0,77144.0,11405.0,218364.0,306659.0,110.0
2000,Finland,"Cereals, primary",4102900.0,264086.0,31997.15,302731.0,41535.62,458936.0,660386.0,115.975
2000,Finland,"Hen eggs in shell, fresh",987100.0,6006.0,5036.0,103.0,282.0,43965.0,69485.0,751.5
2000,Finland,"Meat, Total",337310.0,1233.9733333333331,2741.478,1664.4205882352942,5223.18,179444.0,198639.27272727276,1403.925
2000,Finland,"Milk, Total",2450100.0,393220.39,109731.06,7591.8,3843.92,774116.0,1156744.0,316.0
2000,Finland,Raw milk of cattle,2450100.0,594.0,295.0,115.0,156.0,774116.0,1156744.0,316.0
2000,Finland,Wheat,538300.0,362.0,114.0,181463.0,24055.0,66813.0,104160.0,124.1
2000,France,Barley,9709332.0,4766376.0,575256.0,98933.0,12006.0,963602.0,1635863.0,99.2
2000,France,"Cereals, primary",65732234.8,31129420.0,3883918.0,881868.0,179351.0,6254797.0,11863412.0,115.41428571428573
2000,France,"Hen eggs in shell, fresh",14159685.0,43900.0,59154.0,61046.0,48381.0,806791.0,1285424.0,816.7
2000,France,"Meat, Total",6323737.0,174125.425,315233.5555555556,88908.76666666666,210520.72222222225,1892675.1818181816,2356296.238095238,2201.7714285714287
2000,France,"Milk, Total",23885170.9,4251100.24,1380763.0,3097371.25,1112491.0,6997711.0,9802308.0,292.4
2000,France,Raw milk of cattle,23165508.6,611182.0,218093.0,591820.0,200550.0,6774515.0,9464827.0,292.4
2000,France,Wheat,37355956.9,18034056.0,2059201.0,454147.0,70129.0,3500142.0,6842000.0,93.7
2000,Germany,Barley,12105820.0,6146482.0,699094.0,654588.0,92842.0,1138774.0,2026842.0,94.1
2000,Germany,"Cereals, primary",45271234.0,13358960.0,1557306.0,3089810.0,476443.0,4604006.0,7989771.0,100.11666666666667
2000,Germany,"Hen eggs in shell, fresh",15301000.0,66514.0,70411.0,219564.0,201083.0,930616.0,1280146.0,1032.9
