Area,Item,Year,Producer Price (USD/tonne)
Argentina,Barley,2000,97.0
Argentina,Barley,2001,110.1
Argentina,Barley,2002,111.3
Argentina,Barley,2003,110.3
Argentina,"Hen eggs in shell, fresh",2000,744.4
Argentina,"Hen eggs in shell, fresh",2001,833.4
Argentina,"Hen eggs in shell, fresh",2002,443.6
Argentina,"Hen eggs in shell, fresh",2003,656.1
Argentina,"Hen eggs in shell, fresh",2006,640.9
Argentina,"Hen eggs in shell, fresh",2007,791.2
Argentina,"Hen eggs in shell, fresh",2008,1161.8
Argentina,"Hen eggs in shell, fresh",2009,876.7
Argentina,"Hen eggs in shell, fresh",2010,774.9
Argentina,"Hen eggs in shell, fresh",2011,785.9
Argentina,"Hen eggs in shell, fresh",2012,1009.2
Argentina,"Hen eggs in shell, fresh",2013,1108.9
Argentina,"Hen eggs in shell, fresh",2014,906.3
Argentina,"Hen eggs in shell, fresh",2015,1348.9
Argentina,"Hen eggs in shell, fresh",2016,1136.9
Argentina,"Hen eggs in shell, fresh",2017,930.8
Argentina,"Hen eggs in shell, fresh",2018,1345.6
Argentina,"Hen eggs in shell, fresh",2019,1100.5
Argentina,"Hen eggs in shell, fresh",2020,1318.3
Argentina,Raw milk of cattle,2000,155.1
Argentina,Raw milk of cattle,2001,153.1
Argentina,Raw milk of cattle,2002,94.0
Argentina,Raw milk of cattle,2003,158.6
Argentina,Raw milk of cattle,2006,149.6
Argentina,Raw milk of cattle,2007,221.7
Argentina,Raw milk of cattle,2008,271.0
Argentina,Raw milk of cattle,2009,220.4
Argentina,Raw milk of cattle,2010,330.9
Argentina,Raw milk of cattle,2011,367.0
Argentina,Raw milk of cattle,2012,347.6
Argentina,Raw milk of cattle,2013,384.7
Argentina,Raw milk of cattle,2014,378.6
Argentina,Raw milk of cattle,2016,262.2
Argentina,Raw milk of cattle,2017,327.8
Argentina,Raw milk of cattle,2018,254.1
Argentina,Raw milk of cattle,2019,295.3
Argentina,Wheat,2000,108.1
Argentina,Wheat,2001,122.1
Argentina,Wheat,2002,129.3
Argentina,Wheat,2003,129.6
Argentina,Wheat,2004,107.8
Argentina,Wheat,2005,100.9
Argentina,Wheat,2006,111.6
Argentina,Wheat,2007,154.3
Argentina,Wheat,2008,192.6
Argentina,Wheat,2009,148.8
Argentina,Wheat,2010,160.6
Argentina,Wheat,2011,222.4
Argentina,Wheat,2012,213.9
Argentina,Wheat,2013,359.0
Argentina,Wheat,2014,197.0
Australia,Barley,2000,99.7
Australia,Barley,2001,102.9
Australia,Barley,2002,113.0
Australia,Barley,2003,165.4
Australia,Barley,2004,124.3
Australia,Barley,2005,121.4
Australia,Barley,2006,112.2
Australia,Barley,2007,204.2
Australia,Barley,2008,262.5
Australia,Barley,2009,180.2
Australia,Barley,2010,157.8
Australia,Barley,2011,222.8
Australia,Barley,2012,217.4
Australia,Barley,2013,266.4
Australia,Barley,2014,240.7
Australia,Barley,2015,210.4
Australia,Barley,2016,188.1
Australia,Barley,2017,151.0
Australia,Barley,2018,183.8
Australia,Barley,2019,237.7
Australia,Barley,2020,204.3
Australia,Barley,2021,191.2
Australia,Barley,2022,210.2
Australia,"Hen eggs in shell, fresh",2000,1510.9
Australia,"Hen eggs in shell, fresh",2001,1285.3
Australia,"Hen eggs in shell, fresh",2002,1407.7
Australia,"Hen eggs in shell, fresh",2003,1533.2
Australia,"Hen eggs in shell, fresh",2004,1938.5
Australia,"Hen eggs in shell, fresh",2005,1874.8
Australia,"Hen eggs in shell, fresh",2006,1711.6
Australia,"Hen eggs in shell, fresh",2007,2054.2
Australia,"Hen eggs in shell, fresh",2008,2414.9
Australia,"Hen eggs in shell, fresh",2009,2268.8
Australia,"Hen eggs in shell, fresh",2010,2334.5
Australia,"Hen eggs in shell, fresh",2011,3140.9
Australia,"Hen eggs in shell, fresh",2012,3075.2
Australia,"Hen eggs in shell, fresh",2013,2853.7
Australia,"Hen eggs in shell, fresh",2014,2674.5
Australia,"Hen eggs in shell, fresh",2015,2262.8
Australia,"Hen eggs in shell, fresh",2016,2931.9
Australia,"Hen eggs in shell, fresh",2017,2536.9
Australia,"Hen eggs in shell, fresh",2018,2390.1
Australia,"Hen eggs in shell, fresh",2019,2265.5
Australia,"Hen eggs in shell, fresh",2020,2559.3
Australia,"Hen eggs in shell, fresh",2021,2636.2
Australia,"Hen eggs in shell, fresh",2022,2494.1
Australia,Raw milk of cattle,2000,147.3
Australia,Raw milk of cattle,2001,145.9
Australia,Raw milk of cattle,2002,173.9
Australia,Raw milk of cattle,2003,170.6
Australia,Raw milk of cattle,2004,199.3
Australia,Raw milk of cattle,2005,233.7
Australia,Raw milk of cattle,2006,241.7
Australia,Raw milk of cattle,2007,269.4
Australia,Raw milk of cattle,2008,404.3
Australia,Raw milk of cattle,2009,322.1
Australia,Raw milk of cattle,2010,333.0
Australia,Raw milk of cattle,2011,432.2
Australia,Raw milk of cattle,2012,422.4
Australia,Raw milk of cattle,2013,375.5
Australia,Raw milk of cattle,2014,338.9
Australia,Raw milk of cattle,2015,281.0
Australia,Wheat,2000,113.1
Australia,Wheat,2001,120.0
Australia,Wheat,2002,142.3
Australia,Wheat,2003,172.5
Australia,Wheat,2004,158.8
Australia,Wheat,2005,150.4
Australia,Wheat,2006,152.9
Australia,Wheat,2007,202.5
Australia,Wheat,2008,327.1
Australia,Wheat,2009,219.2
Australia,Wheat,2010,200.0
Australia,Wheat,2011,265.1
Australia,Wheat,2012,235.0
Australia,Wheat,2013,302.2
Australia,Wheat,2014,284.8
Australia,Wheat,2015,225.4
Australia,Wheat,2016,205.9
Australia,Wheat,2017,177.0
Australia,Wheat,2018,203.2
Australia,Wheat,2019,244.7
Australia,Wheat,2020,235.2
Australia,Wheat,2021,231.8
Australia,Wheat,2022,251.6
Austria,Barley,2000,89.9
Austria,Barley,2001,85.8
Austria,Barley,2002,82.8
Austria,Barley,2003,100.5
Austria,Barley,2004,99.3
Austria,Barley,2005,100.7
Austria,Barley,2006,109.1
Austria,Barley,2007,202.6
Austria,Barley,2008,184.6
Austria,Barley,2009,111.1
Austria,Barley,2010,160.4
Austria,Barley,2011,218.5
Austria,Barley,2012,235.1
Austria,Barley,2013,185.9
Austria,Barley,2014,147.5
Austria,Barley,2015,130.9
Austria,Barley,2016,112.9
Austria,Barley,2017,131.0
Austria,Barley,2018,161.8
Austria,Barley,2019,137.7
Austria,Barley,2020,138.2
Austria,Barley,2021,203.4
Austria,Barley,2022,269.6
Austria,"Hen eggs in shell, fresh",2000,1264.7
Austria,"Hen eggs in shell, fresh",2001,1269.7
Austria,"Hen eggs in shell, fresh",2002,1358.9
Austria,"Hen eggs in shell, fresh",2003,1756.2
Austria,"Hen eggs in shell, fresh",2004,1970.4
Austria,"Hen eggs in shell, fresh",2005,1935.1
Austria,"Hen eggs in shell, fresh",2006,1932.0
Austria,"Hen eggs in shell, fresh",2007,2393.9
Austria,"Hen eggs in shell, fresh",2008,2866.6
Austria,"Hen eggs in shell, fresh",2009,2884.1
Austria,"Hen eggs in shell, fresh",2010,2731.0
Austria,"Hen eggs in shell, fresh",2011,2850.7
Austria,"Hen eggs in shell, fresh",2012,2799.6
Austria,"Hen eggs in shell, fresh",2013,2983.0
Austria,"Hen eggs in shell, fresh",2014,2929.3
Austria,"Hen eggs in shell, fresh",2015,2419.8
Austria,"Hen eggs in shell, fresh",2016,2452.9
Austria,"Hen eggs in shell, fresh",2017,2567.8
Austria,"Hen eggs in shell, fresh",2018,2771.7
Austria,"Hen eggs in shell, fresh",2019,2627.4
Austria,"Hen eggs in shell, fresh",2020,2679.6
Austria,"Hen eggs in shell, fresh",2021,2817.3
Austria,"Hen eggs in shell, fresh",2022,3140.2
Austria,Raw milk of cattle,2000,267.1
Austria,Raw milk of cattle,2001,298.2
Austria,Raw milk of cattle,2002,296.4
Austria,Raw milk of cattle,2003,335.2
Austria,Raw milk of cattle,2004,366.3
Austria,Raw milk of cattle,2005,365.6
Austria,Raw milk of cattle,2006,375.1
Austria,Raw milk of cattle,2007,462.6
Austria,Raw milk of cattle,2008,569.8
Austria,Raw milk of cattle,2009,402.9
Austria,Raw milk of cattle,2010,420.3
Austria,Raw milk of cattle,2011,491.4
Austria,Raw milk of cattle,2012,435.5
Austria,Raw milk of cattle,2013,499.4
Austria,Raw milk of cattle,2014,524.8
Austria,Raw milk of cattle,2015,373.9
Austria,Raw milk of cattle,2016,346.5
Austria,Raw milk of cattle,2017,421.4
Austria,Raw milk of cattle,2018,477.1
Austria,Raw milk of cattle,2019,414.2
Austria,Raw milk of cattle,2020,430.6
Austria,Raw milk of cattle,2021,469.5
Austria,Raw milk of cattle,2022,528.6
Austria,Wheat,2000,101.8
Austria,Wheat,2001,95.8
Austria,Wheat,2002,92.2
Austria,Wheat,2003,121.9
Austria,Wheat,2004,109.3
Austria,Wheat,2005,102.0
Austria,Wheat,2006,131.7
Austria,Wheat,2007,258.7
Austria,Wheat,2008,197.7
Austria,Wheat,2009,126.4
Austria,Wheat,2010,243.9
Austria,Wheat,2011,218.5
Austria,Wheat,2012,271.1
Austria,Wheat,2013,196.6
Austria,Wheat,2014,179.3
Austria,Wheat,2015,152.0
Austria,Wheat,2016,127.3
Austria,Wheat,2017,163.8
Austria,Wheat,2018,181.9
Austria,Wheat,2019,163.4
Austria,Wheat,2020,170.2
Austria,Wheat,2021,268.5
Austria,Wheat,2022,292.7
Belgium,Barley,2000,95.3
Belgium,Barley,2001,87.4
Belgium,Barley,2002,82.8
Belgium,Barley,2003,120.8
Belgium,Barley,2004,114.2
Belgium,Barley,2005,116.9
Belgium,Barley,2006,137.2
Belgium,Barley,2007,245.8
Belgium,Barley,2008,193.5
Belgium,Barley,2009,120.0
Belgium,Barley,2010,195.4
Belgium,Barley,2011,241.5
Belgium,Barley,2012,277.7
Belgium,Barley,2013,230.1
Belgium,Barley,2014,184.7
Belgium,Barley,2015,157.9
Belgium,Barley,2016,130.8
Belgium,Barley,2017,149.4
Belgium,Barley,2018,209.7
Belgium,Barley,2019,158.0
Belgium,Barley,2020,177.2
Belgium,Barley,2021,264.0
Belgium,Barley,2022,286.5
Belgium,"Hen eggs in shell, fresh",2000,583.7
Belgium,"Hen eggs in shell, fresh",2001,525.3
Belgium,"Hen eggs in shell, fresh",2002,604.6
Belgium,"Hen eggs in shell, fresh",2003,1028.7
Belgium,"Hen eggs in shell, fresh",2004,558.4
Belgium,"Hen eggs in shell, fresh",2005,575.8
Belgium,"Hen eggs in shell, fresh",2006,770.7
Belgium,"Hen eggs in shell, fresh",2007,1112.2
Belgium,"Hen eggs in shell, fresh",2008,1172.7
Belgium,"Hen eggs in shell, fresh",2009,1242.9
Belgium,"Hen eggs in shell, fresh",2010,1032.2
Belgium,"Hen eggs in shell, fresh",2011,571.7
Belgium,"Hen eggs in shell, fresh",2012,958.2
Belgium,"Hen eggs in shell, fresh",2013,632.6
Belgium,"Hen eggs in shell, fresh",2014,678.5
Belgium,"Hen eggs in shell, fresh",2015,643.5
Belgium,"Hen eggs in shell, fresh",2016,511.5
Belgium,"Hen eggs in shell, fresh",2017,781.9
Belgium,"Hen eggs in shell, fresh",2018,689.9
Belgium,"Hen eggs in shell, fresh",2019,653.5
Belgium,"Hen eggs in shell, fresh",2020,662.4
Belgium,"Hen eggs in shell, fresh",2021,703.8
Belgium,"Hen eggs in shell, fresh",2022,1114.2
Belgium,Raw milk of cattle,2000,276.3
Belgium,Raw milk of cattle,2001,283.6
Belgium,Raw milk of cattle,2002,272.9
Belgium,Raw milk of cattle,2003,304.7
Belgium,Raw milk of cattle,2004,356.3
Belgium,Raw milk of cattle,2005,343.2
Belgium,Raw milk of cattle,2006,323.3
Belgium,Raw milk of cattle,2007,444.4
Belgium,Raw milk of cattle,2008,453.5
Belgium,Raw milk of cattle,2009,315.5
Belgium,Raw milk of cattle,2010,387.8
Belgium,Raw milk of cattle,2011,444.2
Belgium,Raw milk of cattle,2012,369.8
Belgium,Raw milk of cattle,2013,474.5
Belgium,Raw milk of cattle,2014,466.0
Belgium,Raw milk of cattle,2015,291.6
Belgium,Raw milk of cattle,2016,273.2
Belgium,Raw milk of cattle,2017,367.3
Belgium,Raw milk of cattle,2018,351.8
Belgium,Raw milk of cattle,2019,338.5
Belgium,Raw milk of cattle,2020,327.3
Belgium,Raw milk of cattle,2021,392.2
Belgium,Raw milk of cattle,2022,516.2
Belgium,Wheat,2000,101.9
Belgium,Wheat,2001,97.2
Belgium,Wheat,2002,93.2
Belgium,Wheat,2003,126.4
Belgium,Wheat,2004,136.6
Belgium,Wheat,2005,114.4
Belgium,Wheat,2006,152.8
Belgium,Wheat,2007,244.9
Belgium,Wheat,2008,250.6
Belgium,Wheat,2009,153.5
Belgium,Wheat,2010,206.5
Belgium,Wheat,2011,276.1
Belgium,Wheat,2012,286.9
Belgium,Wheat,2013,263.9
Belgium,Wheat,2014,219.0
Belgium,Wheat,2015,171.3
Belgium,Wheat,2016,147.6
Belgium,Wheat,2017,159.7
Belgium,Wheat,2018,196.7
Belgium,Wheat,2019,174.6
Belgium,Wheat,2020,199.3
Belgium,Wheat,2021,275.5
Belgium,Wheat,2022,338.1
Brazil,Barley,2000,103.3
Brazil,Barley,2001,94.9
Brazil,Barley,2018,210.5
Brazil,Barley,2019,223.7
Brazil,Barley,2020,230.9
Brazil,Barley,2021,295.7
