Year,Area,Item,Production Value (t)
2000,Argentina,Barley,722490.0
2000,Argentina,"Cereals, primary",37983923.0
2000,Argentina,"Hen eggs in shell, fresh",6165055.0
2000,Argentina,"Meat, Total",4101293.0
2000,Argentina,"Milk, Total",10121330.0
2000,Argentina,Raw milk of cattle,10121330.0
2000,Argentina,Wheat,15478660.0
2000,Australia,Barley,5043000.0
2000,Australia,"Cereals, primary",35386938.0
2000,Australia,"Hen eggs in shell, fresh",2645000.0
2000,Australia,"Meat, Total",3707445.0
2000,Australia,"Milk, Total",10847000.0
2000,Australia,Raw milk of cattle,10847000.0
2000,Australia,Wheat,24757000.0
2000,Austria,Barley,854667.0
2000,Austria,"Cereals, primary",4494383.16
2000,Austria,"Hen eggs in shell, fresh",1520269.0
2000,Austria,"Meat, Total",835352.0
2000,Austria,"Milk, Total",3257320.0
2000,Austria,Raw milk of cattle,3233156.0
2000,Austria,Wheat,1312962.0
2000,Belgium,Barley,333400.0
2000,Belgium,"Cereals, primary",2513100.0
2000,Belgium,"Hen eggs in shell, fresh",3601200.0
2000,Belgium,"Meat, Total",1735552.0
2000,Belgium,"Milk, Total",3691410.0
2000,Belgium,Raw milk of cattle,3689000.0
2000,Belgium,Wheat,1687700.0
2000,Brazil,Barley,282826.0
2000,Brazil,"Cereals, primary",46527201.96
2000,Brazil,"Hen eggs in shell, fresh",31698740.0
2000,Brazil,"Meat, Total",15424850.0
2000,Brazil,"Milk, Total",20644773.03
2000,Brazil,Raw milk of cattle,20379988.0
2000,Brazil,Wheat,1725792.0
2000,Canada,Barley,13228600.0
2000,Canada,"Cereals, primary",51090400.0
2000,Canada,"Hen eggs in shell, fresh",6943950.0
2000,Canada,"Meat, Total",4000324.0
2000,Canada,"Milk, Total",8161000.0
2000,Canada,Raw milk of cattle,8161000.0
2000,Canada,Wheat,26535500.0
2000,China,Barley,2646000.0
2000,China,"Cereals, primary",407336209.03
2000,China,"Hen eggs in shell, fresh",397150731.67
2000,China,"Meat, Total",62057917.5
2000,China,"Milk, Total",12374042.35
2000,China,Raw milk of cattle,8632308.0
2000,China,Wheat,99636127.0
2000,Denmark,Barley,3979794.0
2000,Denmark,"Cereals, primary",9412662.0
2000,Denmark,"Hen eggs in shell, fresh",1312300.0
2000,Denmark,"Meat, Total",1985389.38
2000,Denmark,"Milk, Total",4719800.0
2000,Denmark,Raw milk of cattle,4719800.0
2000,Denmark,Wheat,4693422.0
2000,Finland,Barley,1984800.0
2000,Finland,"Cereals, primary",4102900.0
2000,Finland,"Hen eggs in shell, fresh",987100.0
2000,Finland,"Meat, Total",337310.0
2000,Finland,"Milk, Total",2450100.0
2000,Finland,Raw milk of cattle,2450100.0
2000,Finland,Wheat,538300.0
2000,France,Barley,9709332.0
2000,France,"Cereals, primary",65732234.8
2000,France,"Hen eggs in shell, fresh",14159685.0
2000,France,"Meat, Total",6323737.0
2000,France,"Milk, Total",23885170.9
2000,France,Raw milk of cattle,23165508.6
2000,France,Wheat,37355956.9
2000,Germany,Barley,12105820.0
2000,Germany,"Cereals, primary",45271234.0
2000,Germany,"Hen eggs in shell, fresh",15301000.0
2000,Germany,"Meat, Total",6218208.0
2000,Germany,"Milk, Total",28353216.0
2000,Germany,Raw milk of cattle,28331216.0
2000,Germany,Wheat,21621548.0
2000,Hungary,Barley,900510.0
2000,Hungary,"Cereals, primary",10036050.0
2000,Hungary,"Hen eggs in shell, fresh",3382805.0
2000,Hungary,"Meat, Total",1175789.37
2000,Hungary,"Milk, Total",2156954.0
2000,Hungary,Raw milk of cattle,2142915.0
2000,Hungary,Wheat,3692470.0
