Area,Item,Year,Export Quantity (t),Export Value (1000 USD),Import Quantity (t),Import Value (1000 USD)
Argentina,Barley,2000,36926.56,4991.0,16563.52,2718.0
Argentina,Barley,2001,201329.0,27320.0,115.0,9.0
Argentina,Barley,2002,112898.0,15903.0,85.0,13.0
Argentina,Barley,2003,66150.0,9731.0,59.0,20.0
Argentina,Barley,2004,196665.0,31781.0,78.0,21.0
Argentina,Barley,2005,325359.0,40970.0,21.0,11.0
Argentina,Barley,2006,389707.0,55974.0,19.0,21.0
Argentina,Barley,2007,523179.0,93490.0,43.0,45.0
Argentina,Barley,2008,960090.0,262024.0,21.0,14.0
Argentina,Barley,2009,1011887.0,189317.0,24.0,33.0
Argentina,Barley,2010,535794.0,107458.0,24.0,24.0
Argentina,Barley,2011,2149148.0,552184.0,601.0,686.0
Argentina,Barley,2012,3448276.0,842808.0,127.0,111.0
Argentina,Barley,2013,3359576.0,912296.0,136.0,120.0
Argentina,Barley,2014,2730126.59,627916.0,30.95,47.0
Argentina,Barley,2015,1541983.11,348782.0,19.44,28.0
Argentina,Barley,2016,3227439.35,599701.0,2.75,31.0
Argentina,Barley,2017,2564499.82,456491.0,39.33,45.0
Argentina,Barley,2018,2587695.8,537089.0,2.3,16.0
Argentina,Barley,2019,2517497.4,587557.0,11890.12,4187.0
Argentina,Barley,2020,2233130.0,457326.0,16311.0,5236.0
Argentina,Barley,2021,2295881.24,543271.0,12001.8,4436.0
Argentina,Barley,2022,3684543.7,1161362.0,1.28,7.0
Argentina,"Cereals, primary",2000,22932025.0,2336236.82,28333.11,19182.04
Argentina,"Cereals, primary",2001,22592528.0,2391361.0,6565.0,8415.0
Argentina,"Cereals, primary",2002,19216071.0,2093829.0,3416.0,6354.0
Argentina,"Cereals, primary",2003,18848037.0,2258140.0,8130.0,6975.0
Argentina,"Cereals, primary",2004,21115584.0,2623392.0,15460.0,9017.0
Argentina,"Cereals, primary",2005,25739529.0,2719084.0,5409.0,7670.0
Argentina,"Cereals, primary",2006,20718136.0,2818419.0,3505.0,8795.0
Argentina,"Cereals, primary",2007,26249878.0,4512752.0,7438.0,19795.0
Argentina,"Cereals, primary",2008,26309082.0,6540810.0,9044.0,27369.0
Argentina,"Cereals, primary",2009,15797412.0,2969814.0,8117.0,17386.0
Argentina,"Cereals, primary",2010,23884669.0,4425936.0,9035.0,27055.0
Argentina,"Cereals, primary",2011,28381435.0,8075129.0,6987.0,26576.0
Argentina,"Cereals, primary",2012,35555397.0,9229905.0,8989.0,39451.0
Argentina,"Cereals, primary",2013,28145192.0,8025112.0,3849.0,14130.0
Argentina,"Cereals, primary",2014,21668299.42,4997002.54,2793.99,10903.96
Argentina,"Cereals, primary",2015,23650479.58,4697705.45,3206.71,8794.09
Argentina,"Cereals, primary",2016,38564612.45,6772463.29,5584.38,13243.79
Argentina,"Cereals, primary",2017,39905569.22,6807830.22,11943.6,30544.21
Argentina,"Cereals, primary",2018,37784225.62,7248686.81,8686.99,31894.96
Argentina,"Cereals, primary",2019,49484471.07,8902016.24,18156.85,25466.02
Argentina,"Cereals, primary",2020,49799411.05,8628646.17,21771.4,24683.34
Argentina,"Cereals, primary",2021,50838975.91,11883824.72,19964.95,33826.96
Argentina,"Cereals, primary",2022,53755240.04,14899660.41,11057.66,46863.49
Argentina,"Milk, Total",2000,985564.44,251620.4,4736.5,2499.45
Argentina,"Milk, Total",2001,829767.59,224660.0,20118.0,6804.0
Argentina,"Milk, Total",2002,1242274.08,236285.0,12279.5,7420.0
