"Subsection Code","Section","Subsection","Metadata"
"1.0","Title","Title","Prices / Producer Prices - Metadata"
"2.0","Data source","Data source","https://www.fao.org/faostat/en/#data/PP/metadata"
"2.1","Data source","Compiling Organization","Food and Agriculture Organization of the United Nations (FAO)"
"2.2","Data source","Data source","https://www.fao.org/faostat/en/#data/PP/metadata"
"3.1","Contacts","Contact organization","Food and Agriculture Organization of the United Nations (FAO)"
"3.2","Contacts","Contact organization unit","Statistics Division (ESS)"
"3.3","Contacts","Contact mail address","Viale delle Terme di Caracalla, 00153 Rome, Italy"
"3.4","Contacts","Contact email address","faostat@fao.org"
"4.1","Metadata update","Metadata last posted","14/12/2023"
"4.2","Metadata update","Metadata last update","14/12/2023"
"5.1","Statistical presentation","Data description","This sub-domain contains data on Agriculture Producer Prices and Producer Price Index. Agriculture Producer Prices are prices received by farmers for primary crops, live animals and livestock primary products as collected at the point of initial sale (prices paid at the farm-gate). Annual data are provided from 1991, while mothly data from January 2010 for 180 country and 212 products.Producer Price Index is the index of agricultural producer prices that measures the average annual change over time in the selling prices received by farmers (prices at the farm-gate or at the first point of sale). The three categories of producer price index available in FAOSTAT comprise: single-item price index, commodity group index and the agriculture producer price index."
"5.2","Statistical presentation","Sector coverage","Most crop and livestock products under agricultural activity"
"5.3","Statistical presentation","Statistical concepts and definitions","Agricultural Producer Prices are prices received by farmers for primary crops, live animals and livestock primary products as collected at the point of initial sale (prices paid at the farm-gate). Due to differences in data collection infrastructure and capacity, some countries do vary from this concept by collecting, instead, wholesale or local market prices. While these may be good proxies of farm-gate prices when the marketing chain is very limited, they tend to be poorer proxies in economies where transport and commercial margins constitute a significant share of the final product price. At the far extreme, some countries report retail prices, which are typically very poor proxies for producer prices.Producer Price Index is compiled using FAOSTAT price and production data and are based on average 2014-2016 = 100."
"5.4","Statistical presentation","Reference area","All countries of the world and geographical aggregates according to the United Nations M-49 list"
"5.5","Statistical presentation","Time coverage","Time coverage: Price and Index annual time series starting from 1991; Price monthly time series starting from January 2010 | Periodicity: Annual and monthly for Prices; Annual only for index; | Start period: 1991 for annual; January 2010 for monthly | End period: t-1 calculated with official data and t (only for indices) forescasted using an exponential smoothing method"
"5.6","Statistical presentation","Base period","Base period: aveage 2014-2016 only for index | Base period code: 2014-2016=100"
"5.7","Statistical presentation","Base period","Base period: aveage 2014-2016 only for index | Base period code: 2014-2016=100"
"6.0","Unit of measure","Unit of measure","Producer Price [Local Currency Unit (LCU)/tonnes] Producer Price [Standard Local Currency (SLC)/tonnes] Producer Price [USD/tonnes]Producer Price Index (2014-2016 = 100)"
"7.0","Reference period","Reference period","Calendar Year"
"8.1","Institutional mandate","Legal acts and other agreements","Article I of the FAO constitution requires the Organization to collect, analyse, interpret and disseminate information relating to nutrition, food and agriculture (the term “agriculture” and its derivatives includes forestry, fisheries and aquaculture). The first session of the FAO Conference in 1945 provided the rationale: “If FAO is to carry out its work successfully it will need to know where and why hunger and malnutrition exist, what forms they take, and how widespread they are. Such data will serve as a basis for making plans, determining the efficacy of measures used, and measuring progress from time to time.” Member countries reaffirmed this mandate in 2000 when formulating the Organization’s strategic thrusts for the 2000-2015 period: Corporate Strategy E1 commits the Organization to building “an integrated information resource base, with current, relevant and reliable statistics, information and knowledge made accessible to all FAO clients.""Request by the Statistical Commission during its first session in 1947, and is in agreement with the resolution 48/223 C of the UN General Assembly, which mandates the Committee on Contributions to prepare the Scale of Assessment for UN Member States on the basis of the most recent reliable and verifiable available data on national accounts of as many countries and areas as possible, and that these data be published and disseminated regularly."
"8.2","Institutional mandate","Data acquisition and data transmission","Data sharing  : Ongoing agreement with Eurostat for using their data on prices received by farmers | Code - IOs from which FAO imports all or some data: Code - IOs from which FAO imports all or some data"
"9.1","Confidentiality","Confidentiality - policy","FAO Statistical Quality Assurance Framework, Principle 10: ""All data subject to national confidentiality policies (e.g. concerning people and legal entities, or small aggregates) are kept strictly confidential, and are used exclusively for statistical purposes, or for purposes mandated by legislation."""
"9.2","Confidentiality","Confidentiality - data treatment","Only non-confidential data are recorded"
"9.3","Confidentiality","Privacy",""
"10.1","Release Policy","Release calendar","Release calendar: Producer prices and Producer Price Index are disseminated annualy in December (t) for reference year (t-1). Forecasts for Producer Price Index for time t are also produced using an exponential smoothing forecasting method and disseminated at the same time. | Release policy : Producer Price Index data are disseminated annually in conjunction with annual agricultural producer prices"
"10.2","Release Policy","Release calendar access",""
"10.3","Release Policy","User access","User access: In line with FAO's Statistics Code of Practice data are disseminated for free consultation on FAO's website respecting professional independence and in an objective, professional and transparent manner in which all users are treated equitably. Users are informed that the data are being released in the FAOSTAT Home Page through the Latest News box. | Terms of use: https://www.fao.org/contact-us/terms/db-terms-of-use/en/ This work is made available under the Creative Commons Attribution-NonCommercial-ShareAlike 3.0 IGO license https://creativecommons.org/licenses/by-nc-sa/3.0/igo). In addition to this license, some database specific terms of use are listed: Terms of Use of Datasets."
"10.4","Release Policy","Open data license",""
"11.0","Frequency of dissemination","Frequency of dissemination","Annually"
"12.1","Accessibility and clarity","News release","Ad-hoc press releases"
"12.2","Accessibility and clarity","Publications","FAO Global Statistical Yearbook, FAO Regional Statistical Yearbooks, FAO analytical briefs"
"12.3","Accessibility and clarity","Online database","https://www.fao.org/faostat/en/#data"
"12.4","Accessibility and clarity","Micro-data access","No micro data available"
"12.5","Accessibility and clarity","Other formats",""
"12.6","Accessibility and clarity","Documentation on methodology","National reference metadata are collected through the questionnaire and are only partially disseminated in FAOSTAT as country notes. Methodological documents date back to the 1980's and 1990's. Farm and Input Prices: collection and compilation is available at :  https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/Publications/FAO_ESDP/ESDP_16_farm_and_input_prices.pdf and countries methodologies were published in FAO's Economic and Social Studies n.58 National methods of agricultural agricultural prices data collection,  1986.The methodology has been developed by FAO Statistics Division and is described in FAOSTAT's Producer Prices selection page https://www.fao.org/faostat/en/#data/PP"
"13.1","Relevance","User needs","The main users are FAO analysts, other international organizations, research institutes and universities, countries and professional associations."
"13.2","Relevance","User satisfaction","Feedback from users are routinely recorded. The FAOSTAT User Consultation took place during April-December 2018. https://www.fao.org/3/ca7239en/ca7239en.pdf"
"13.3","Relevance","Completeness","The dataset covers approximately 180 countries out of 185 questionnaire recipients, 30 of which replied once or twice only. Countries that do not provide any basic price data are not included in the Price dataset. Producer Price Index are compiled for official and imputed data."
"14.1","Accuracy and reliability","Overall accuracy","The accuracy depends upon the definition of the items at the national level and different varieties that might be associated with specific products, as communicated by member countries through questionnaires. Accuracy of imputed values depends on the type of imputation method employed and on the quality of source data. The indices accuracy depend on the quality of basic and imputed data."
"14.2","Accuracy and reliability","Model assumption error",""
"14.3","Accuracy and reliability","Imputation indicators",""
"14.4","Accuracy and reliability","Data revision - policy","Pre-filled questionnaires are sent out with reported data for t-2 to t-3 which countries are asked to revise."
"14.5","Accuracy and reliability","Data revision - practice","The revised data for t-2 to t-3 are disseminated at the same time as the data for year t-1 are released.When producer price data are revised, producer price index is automatically revised."
"15.1","Timeliness and punctuality","Timeliness","Production time of the annual dataset is approximately 6 months (from issuing the questionnaire to data release). This time lag is necessary for data validation, imputation and dissemination.Compililation of Producer Price Index is made after the annual producer price dataset has been validated."
"15.2","Timeliness and punctuality","Punctuality","Price and Price Index data is released in December every year. To shorten the gap between the reference year and the release date, indices for time t are forecasted using exponential smoothing methodology."
"16.1","Coherence and Comparability","Comparability – geographical","Lack of comparability has several possible causes: different price concept adopted by the countries, different varieties under the same commodity definition, different country coverage."
"16.2","Coherence and Comparability","Comparability - over time","Comparability over time varies across countries. For Price data, it occurs in particular when countries supplying agency changes or when countries respond to the annual questionnaire after an interval and time series display a price change that is not consistent with other price indicators or item coverage differs from the previous one. The first action is to request further information to the country. When possible, missing terms of the series are interpolated. In extreme cases, the new series is rejected or the old series masked. In other cases a country note informs users of the break in the series.Comparability of Price Indeces depends on the realiability of basic Prices."
