"Subsection Code","Section","Subsection","Metadata"
"1.0","Title","Title","Trade / Crops and livestock products - Metadata"
"2.1","Data source information","Compiling Organization","Food and Agriculture Organization of the United Nations (FAO)"
"2.2","Data source information","Data source","https://www.fao.org/faostat/en/#data/TCL/metadata"
"3.1","Contacts","Contact organization","Food and Agriculture Organization of the United Nations (FAO)"
"3.2","Contacts","Contact organization unit","Statistics Division (ESS)"
"3.3","Contacts","Contact mail address","Viale delle Terme di Caracalla, 00153 Rome, Italy"
"3.4","Contacts","Contact email address","faostat@fao.org"
"4.1","Metadata update","Metadata last posted","10/12/2024"
"4.2","Metadata update","Metadata last update","10/12/2024"
"5.1","Statistical presentation","Data description","The food and agricultural trade dataset is collected, processed and disseminated by FAO according to the standard International Merchandise Trade Statistics (IMTS) Methodology. The data is mainly provided by UNSD, Eurostat, and other national authorities as needed. This source data is checked for outliers, trade partner data is used for non-reporting countries or missing cells, and data on food aid is added to take into account total cross-border trade flows. The trade database includes the following variables: export quantity, export value, import quantity, and import value. The trade database includes all food and agricultural products imported/exported annually by all the countries in the world."
"5.2","Statistical presentation","Coverage",""
"5.3","Statistical presentation","Sector coverage","The dataset contains all food and agricultural products imported and exported during the reference year by country. In addition to the individual country data, other item and country aggregates are disseminated. The processed trade data is essential for the compilation of Supply/Utilization Accounts (SUA) and Food Balance Sheets (FBS)."
"5.4","Statistical presentation","Statistical concepts and definitions","Quantity of food and agricultural exports: Export quantity is defined by the IMTS as the physical quantity of domestic origin or manufactured products shipped out of the country. It includes re-exports. According to the FAO methodology, the quantity of food and agricultural exports included in the FAOSTAT database is expressed in terms of weight (tonnes) for all commodities except for live animals which are expressed in units (heads); poultry, rabbits, pigeons and other birds are expressed in thousand units. As a general rule, trade quantity refers to net weight, excluding any sort of container.Value of agricultural exports: Value of agricultural exports are expressed in thousand US dollars in the FAOSTAT database. Export values are reported as FOB (free on board), that is, the value of the goods plus the value of the services performed to deliver the goods to the border of the exporting country).Quantity of food and agricultural imports: Import quantity represents the physical quantity of the products imported for domestic consumption or processing shipped into a country. It includes re-imports. According to the FAO methodology, the quantity of food and agricultural imports included in the FAOSTAT database is expressed in terms of weight (tonnes) for all commodities except for live animals which are expressed in units (heads); poultry, rabbits, pigeons and other birds are expressed in thousand units. As a general rule, trade quantity refers to net weight, excluding any sort of container. It includes also food aid quantities, where relevant.Value of agricultural imports: Value of agricultural imports are expressed in thousand US dollars in the FAOSTAT database. Import values are reported as CIF (Cost Insurance and Freight), that is, the value of the goods, plus the value of the services performed to deliver goods to the border of the exporting country, plus the value of the services performed to deliver the good from the border of the exporting country to the border of the importing country)."
"5.5","Statistical presentation","Reference area","All countries of the world – with some minor exceptions – and geographical aggregates according to the United Nations M-49 list, in line with FAO Statistical Standard on Country and Area Codes for Statistical Use.Notes on geographical coverage:(1)Data of Iraq do not include Kurdistan region .(2)Since 2007 France data include French Guiana, Martinique, Guadeloupe, Reunion territories but they exclude French Polynesia and New Caledonia territories.(3)Information provided by the Russian Federation includes statistical data for the Autonomous Republic of Crimea and the city of Sevastopol, Ukraine, temporarily occupied by the Russian Federation and is presented without prejudice to relevant UN General Assembly and UN Security Council resolutions, including UN General Assembly resolution 68/262 of 27 March 2014 and UN Security Council resolution 2202 (2015) of 17 February 2015, which reaffirm the territorial integrity of Ukraine. Information provided by Ukraine excludes statistical data concerning the Autonomous Republic of Crimea, the city of Sevastopol and certain areas of the Donetsk and Luhansk regions. The information is presented without prejudice to relevant UN General Assembly and UN Security Council resolutions, including UN General Assembly resolution 68/262 of 27 March 2014 and UN Security Council resolution 2202 (2015) of 17 February 2015, which reaffirm the territorial integrity of Ukraine."
"5.6","Statistical presentation","Time coverage","1961 - 2023"
"5.7","Statistical presentation","Base period","Not applicable"
"6.0","Unit of measure","Unit of measure","Export Quantity [t], Export Value [1000 USD], Import Quantity [t], Import Value [1000 USD]Nutritive Elements: - kilocalories per capita per day of Energy content. - grams per capita per day for content measures of the following: Carbohydrate, Fat, Protein, Dietary fibre. - milligrams per capita per day for content measures of the following: Calcium, Iron, Magnesium, Phospohorus, Potassium, Riboflavin, Thiamin, Vitamine C, Zinc. - micrograms per capita per day for content measures of the following: Vitamin A retinol equivalents, Vitamin A retinol activity equivalents."
"7.0","Reference period","Reference period","Calendar year"
